#,Repositorio,Enlace GitHub,Uso Principal,H2O,Trading,Agro,Score,
117,**ReviewStage/stage-cli**,https://github.com/ReviewStage/stage-cli,CLI para flujos de revisión de código colaborativa,🟡,🟡,🟡,**79**,
118,**KidQuant/KidQuant**,https://github.com/KidQuant/KidQuant,Plataforma educativa de finanzas cuantitativas para niños,🟢,🟡,🟢,**78**,
129,**addyosmani/agent-skills**,https://github.com/addyosmani/agent-skills,Biblioteca de habilidades para agentes de IA (Addy Osmani),🟡,🟡,🟡,**89**,
130,**julep-ai/julep**,https://github.com/julep-ai/julep,Plataforma de agentes de IA con memoria y herramientas,🟡,🟡,🟡,**88**,
131,**Enriquefft/openclaw-kapso-whatsapp**,https://github.com/Enriquefft/openclaw-kapso-whatsapp,Integración WhatsApp con OpenClaw para automatización,🔴,🟢,🟢,**88**,
132,**s0md3v/Photon**,https://github.com/s0md3v/Photon,Herramienta OSINT de reconocimiento y scraping web,🟡,🟡,🟡,**88**,
133,**rohitg00/ai-engineering-from-scratch**,https://github.com/rohitg00/ai-engineering-from-scratch,Guía práctica de ingeniería de sistemas de IA desde cero,🟡,🟡,🟡,**87**,
134,**midday-ai/midday**,https://github.com/midday-ai/midday,Plataforma de analytics financiero con IA para negocios,🟡,🔴,🟢,**86**,
135,**future-agi/traceAI**,https://github.com/future-agi/traceAI,Sistema de trazabilidad y monitoreo para agentes de IA,🟡,🟡,🟡,**86**,
136,**manaflow-ai/cmux**,https://github.com/manaflow-ai/cmux,Orquestador de flujos de trabajo de IA multiplexados,🟡,🟡,🟡,**85**,
137,**VILA-Lab/FigMirror**,https://github.com/VILA-Lab/FigMirror,Herramienta de visualización y espejo de figuras para IA multimodal,🟢,🟡,🔴,**84**,
138,**wbh604/UZI-Skill**,https://github.com/wbh604/UZI-Skill,Framework de habilidades modulares para agentes de IA,🟡,🟡,🟡,**83**,
139,**rowboatlabs/rowboat**,https://github.com/rowboatlabs/rowboat,Plataforma de pipelines de datos y ETL para analytics,🟡,🔴,🟡,**82**,
140,**vmware/photon**,https://github.com/vmware/photon,Sistema operativo minimalista optimizado para contenedores,🟡,🟡,🟡,**82**,
141,**google-labs-code/jules-awesome-list**,https://github.com/google-labs-code/jules-awesome-list,Lista curada de recursos y herramientas de Google Labs,🟡,🟡,🟡,**81**,
142,**affaan-m/ECC**,https://github.com/affaan-m/ECC,Implementación educativa de criptografía de curva elíptica,🟡,🔴,🟡,**81**,
143,**charmbracelet/crush**,https://github.com/charmbracelet/crush,CLI moderno y estético para interacción con shell,🟡,🟡,🟡,**80**,
144,**connors/photon**,https://github.com/connors/photon,Sistema de diseño UI de GitHub para aplicaciones web,🟡,🟡,🟡,**80**,
145,**withcoral/coral**,https://github.com/withcoral/coral,Framework de desarrollo web full-stack con TypeScript,🟡,🟡,🟡,**79**,
146,**matthart1983/netwatch**,https://github.com/matthart1983/netwatch,Monitor de red ligero con alertas y métricas en tiempo real,🟡,🟡,🟡,**78**,
147,**advplyr/audiobookshelf**,https://github.com/advplyr/audiobookshelf,Servidor self-hosted para audiolibros y podcasts,🟢,🟢,🟢,**77**,
148,**plausible/docs**,https://github.com/plausible/docs,Documentación oficial de Plausible Analytics,🟡,🟡,🟡,**75**,
154,**rlabbe/Kalman-and-Bayesian-Filters-in-Python**,https://github.com/rlabbe/Kalman-and-Bayesian-Filters-in-Python,Libro interactivo + código: implementación de filtros de Kalman y Bayesianos en Python para estimación de estados y filtrado de señales,🟢,🔴,🟡,**89**,kalma filter
161,**git-ai-project/git-ai**,https://github.com/git-ai-project/git-ai,"Herramientas de IA para flujo de trabajo Git: review de código, generación de commits, análisis de cambios",🟡,🟡,🟡,**84**,
162,**iii-hq/iii**,https://github.com/iii-hq/iii,Framework de automatización de flujos de trabajo con IA y orquestación de agentes,🟡,🟡,🟡,**82**,
163,**MrLesk/Backlog.md**,https://github.com/MrLesk/Backlog.md,Gestor de backlog/tareas en Markdown con integración Git para planificación ágil,🟡,🟡,🟡,**78**,
164,**zzzzshawn/matrix**,https://github.com/zzzzshawn/matrix,Librería de operaciones matriciales optimizadas para ML y procesamiento numérico,🟡,🟡,🟡,**76**,
170,**marketingtoolslist/awesome-marketing**,https://github.com/marketingtoolslist/awesome-marketing,"Lista curada de herramientas, libros, blogs y recursos de marketing digital",🟡,🟡,🟡,**88**,
171,**eliasdabbas/advertools**,https://github.com/eliasdabbas/advertools,"Toolkit de productividad y análisis para marketing digital: SEO, SEM, análisis de websites",🟡,🟡,🟡,**86**,
172,**parcelvoy/platform**,https://github.com/parcelvoy/platform,"Plataforma de marketing multi-canal open-source: email, SMS, push notifications, workflows",🟡,🟡,🟡,**85**,
173,**alternbits/awesome-ai-marketing**,https://github.com/alternbits/awesome-ai-marketing,"Lista curada de herramientas de IA para marketing: automatización, contenido, análisis",🟡,🟡,🟡,**83**,
174,**ClimenteA/social-media-posts-scheduler**,https://github.com/ClimenteA/social-media-posts-scheduler,"Programador de posts para redes sociales: Facebook, Instagram, TikTok, LinkedIn, X",🟡,🟡,🟡,**80**,
175,**vkoul/awesome-Marketing-Analytics**,https://github.com/vkoul/awesome-Marketing-Analytics,"Colección de recursos de analytics de marketing: libros, cursos, tutoriales, investigación",🟡,,🟡,**78**,
186,**vinta/awesome-python**,https://github.com/vinta/awesome-python,"Frameworks, bibliotecas y herramientas Python",🔴,,🟡,**89**,
187,**awesome-selfhosted/awesome-selfhosted**,https://github.com/awesome-selfhosted/awesome-selfhosted,Software libre para auto-alojar servicios y aplicaciones web,🔴,🟡,🟡,**88**,
188,**sshuair/awesome-gis**,https://github.com/sshuair/awesome-gis,"Colección de herramientas GIS: cartografía, geoanálisis, datos",🟢,,🔴,**87**,
189,**wangzhe3224/awesome-systematic-trading**,https://github.com/wangzhe3224/awesome-systematic-trading,"Recursos de trading sistemático: crypto, acciones, futuros, opciones",🟢,,🟢,**86**,
190,**EthicalML/awesome-production-machine-learning**,https://github.com/EthicalML/awesome-production-machine-learning,"Bibliotecas para desplegar, monitorear y escalar ML en producción",🟡,,🟡,**85**,
191,**danlopez00/awesome-geospatial**,https://github.com/danlopez00/awesome-geospatial,Herramientas y frameworks de visualización 3D geoespacial,🟢,,🔴,**84**,
192,**px39n/Awesome-Precision-Agriculture**,https://github.com/px39n/Awesome-Precision-Agriculture,"UAV, deep learning y tecnologías avanzadas en agricultura de precisión",🟢,,🔴,**83**,
193,**paperswithbacktest/awesome-systematic-trading**,https://github.com/paperswithbacktest/awesome-systematic-trading,Aprendizaje de trading algorítmico con Python para principiantes,🟢,,🟢,**82**,
194,**dariubs/awesome-workflow-automation**,https://github.com/dariubs/awesome-workflow-automation,Software y herramientas de automatización de flujos de trabajo,🔴,,🟡,**81**,
195,**7kfpun/awesome-fintech**,https://github.com/7kfpun/awesome-fintech,Bibliotecas financieras y recursos fintech,🟢,,🟢,**80**,
196,**cbailes/awesome-deep-trading**,https://github.com/cbailes/awesome-deep-trading,IA/deep learning/neural networks aplicados a trading algorítmico,🟢,,🟢,**78**,
197,**grananqvist/Awesome-Quant-Machine-Learning-Trading**,https://github.com/grananqvist/Awesome-Quant-Machine-Learning-Trading,Recursos de trading quant/algorítmico con énfasis en Machine Learning,🟢,,🟢,**76**,
